iter	RMSE
0	0.3843950533
1	0.3672149059
2	0.3510094986
3	0.335667219
4	0.3211656263
5	0.307645298
6	0.2951948285
7	0.2842556855
8	0.2732523786
9	0.2633147825
10	0.2535554683
11	0.2444658399
12	0.2361730545
13	0.2281882734
14	0.2209385905
15	0.2139547433
16	0.2072560764
17	0.2010020608
18	0.1952114256
19	0.1899426991
20	0.1849878928
21	0.1804176917
22	0.1761564362
23	0.1721657584
24	0.1683023214
25	0.164957668
26	0.1618378578
27	0.1589615382
28	0.1563241825
29	0.1531866385
30	0.150692991
31	0.1480958566
32	0.145896577
33	0.1436628935
34	0.1419688667
35	0.1402765271
36	0.1386331308
37	0.1365957629
38	0.1349066329
39	0.1334286706
40	0.1321900111
41	0.1307388524
42	0.1292481442
43	0.1278260281
44	0.1266671787
45	0.12574791
46	0.1248246168
47	0.1237692068
48	0.1228788883
49	0.1218527891
50	0.1208111923
51	0.1200425967
52	0.1192850049
53	0.1182793158
54	0.1174603087
55	0.1167998982
56	0.1162219551
57	0.1155795247
58	0.115045584
59	0.1143925292
60	0.1135559236
61	0.1131188184
62	0.1126963846
63	0.1121224602
64	0.1118435935
65	0.1114585824
66	0.1109131036
67	0.1106491042
68	0.110303227
69	0.1100098056
70	0.1097547188
71	0.1094065712
72	0.1090532847
73	0.108774456
74	0.1085185945
75	0.1081399619
76	0.1075981755
77	0.1072939076
78	0.1066758912
79	0.1062551265
80	0.1059323521
81	0.1056670239
82	0.1052721422
83	0.1050625051
84	0.1047379412
85	0.1044826572
86	0.1042042982
87	0.1039814694
88	0.1036634663
89	0.1034187776
90	0.103288345
91	0.1030891775
92	0.102699699
93	0.1021826715
94	0.1018898341
95	0.1017128626
96	0.1015843258
97	0.1012355779
98	0.1010608356
99	0.100873402
100	0.1006862165
101	0.1004859165
102	0.1002718972
103	0.1001168176
104	0.09981432259
105	0.09963508474
106	0.0995126711
107	0.09932297065
108	0.09915357271
109	0.09903609317
110	0.09894020948
111	0.09876830429
112	0.09865975497
113	0.09838748363
114	0.09816701495
115	0.09805194027
116	0.09793173197
117	0.09784743059
118	0.09776108626
119	0.09766837253
120	0.09761526933
121	0.09747134886
122	0.09722212179
123	0.09712153354
124	0.09697182825
125	0.09688449674
126	0.09674738124
127	0.09669370034
128	0.09659560162
129	0.09655789367
130	0.0965451573
131	0.09630443007
132	0.09625084629
133	0.09619854627
134	0.09604256537
135	0.09595539819
136	0.09591799282
137	0.09584242145
138	0.09537776758
139	0.09530397773
140	0.09519381078
141	0.09508539139
142	0.09501401724
143	0.09491885725
144	0.09478848079
145	0.09470421416
146	0.09465159961
147	0.0944908796
148	0.09444979848
149	0.09442097908
150	0.09430077384
151	0.09423900378
152	0.09420083873
153	0.09416048667
154	0.09409559531
155	0.09405579377
156	0.0939729329
157	0.09392710599
158	0.0938736551
159	0.09383677528
160	0.09379975889
161	0.09367671346
162	0.09324069695
163	0.09320300505
164	0.09317426526
165	0.09311821714
166	0.09306956588
167	0.09302162336
168	0.09294813211
169	0.09291062962
170	0.09286866452
171	0.09284212497
172	0.09280929017
173	0.0926546214
174	0.09261787433
175	0.09257242802
176	0.09252956703
177	0.0924442809
178	0.09240727759
179	0.09230107464
180	0.09227716833
181	0.09176348347
182	0.09168631209
183	0.09164678058
184	0.09159008348
185	0.09155963594
186	0.09148026754
187	0.09131257306
188	0.09127619073
189	0.0912125114
190	0.09117230797
191	0.09107307559
192	0.09104072576
193	0.09099396593
194	0.09093813898
195	0.09092506968
196	0.09083373904
197	0.09078684107
198	0.09074082022
199	0.09072715456
200	0.09068152734
201	0.09066427139
202	0.09063238027
203	0.09058794227
